iter	Accuracy	Logloss
512	0.7158854365	0.5902539475
513	0.7158854365	0.5902539475
514	0.7158854365	0.5902539475
515	0.7158854365	0.5902539475
516	0.7158854365	0.5902539475
517	0.7158854365	0.5902539475
518	0.7158854365	0.5902539475
519	0.7158854365	0.5902539475
520	0.7158854365	0.5902539475
521	0.7158854365	0.5902539475
522	0.7158854365	0.5902539475
523	0.7158854365	0.5902539475
524	0.7158854365	0.5902539475
525	0.7158854365	0.5902539475
526	0.7158854365	0.5902539475
527	0.7158854365	0.5902539474
528	0.7158854365	0.5902539474
529	0.7158854365	0.5902539474
530	0.7158854365	0.5902539474
531	0.7158854365	0.5902539474
532	0.7158854365	0.5902539474
533	0.7158854365	0.5902539474
534	0.7158854365	0.5902539474
535	0.7158854365	0.5902539474
536	0.7158854365	0.5902539474
537	0.7158854365	0.5902539474
538	0.7158854365	0.5902539474
539	0.7158854365	0.5902539474
540	0.7158854365	0.5902539474
541	0.7158854365	0.5902539474
542	0.7158854365	0.5902539474
543	0.7158854365	0.5902539474
544	0.7158854365	0.5902539474
545	0.7158854365	0.5902539473
546	0.7158854365	0.5902539473
547	0.7158854365	0.5902539473
548	0.7158854365	0.5902539473
549	0.7158854365	0.5902539472
550	0.7158854365	0.5902539472
551	0.7158854365	0.590253947
552	0.7158854365	0.590253947
553	0.7158854365	0.590253947
554	0.7158854365	0.590253947
555	0.7158854365	0.590253947
556	0.7158854365	0.590253947
557	0.7158854365	0.590253947
558	0.7158854365	0.590253947
559	0.7158854365	0.590253947
560	0.7158854365	0.590253947
561	0.7158854365	0.5902539467
562	0.7158854365	0.5902539467
563	0.7158854365	0.5902539466
564	0.7158854365	0.5902539465
565	0.7158854365	0.5902539465
566	0.7158854365	0.5902539465
567	0.7158854365	0.5902539465
568	0.7158854365	0.5902539465
569	0.7158854365	0.5902539465
570	0.7158854365	0.5902539465
571	0.7158854365	0.5902539465
572	0.7158854365	0.5902539463
573	0.7158854365	0.5902539462
574	0.7158854365	0.5902539462
575	0.7158854365	0.5902539462
576	0.7158854365	0.5902539462
577	0.7158854365	0.5902539462
578	0.7158854365	0.5902539462
579	0.7158854365	0.5902539462
580	0.7158854365	0.5902539462
581	0.7158854365	0.5902539462
582	0.7158854365	0.5902539462
583	0.7158854365	0.5902539462
584	0.7158854365	0.5902539455
585	0.7158854365	0.5902539453
586	0.7158854365	0.5902539453
587	0.7158854365	0.5902539453
588	0.7158854365	0.5902539451
589	0.7158854365	0.5902539451
590	0.7158854365	0.5902539451
591	0.7158854365	0.5902539451
592	0.7158854365	0.5902539451
593	0.7158854365	0.5902539451
594	0.7158854365	0.5902539451
595	0.7158854365	0.5902539451
596	0.7158854365	0.5902539451
597	0.7158854365	0.5902539451
598	0.7158854365	0.5902539449
599	0.7158854365	0.5902539449
600	0.7158854365	0.5902539449
601	0.7158854365	0.5902539449
602	0.7158854365	0.5902539449
603	0.7158854365	0.5902539449
604	0.7158854365	0.5902539449
605	0.7158854365	0.5902539449
606	0.7158854365	0.5902539449
607	0.7158854365	0.5902539449
608	0.7158854365	0.5902539449
609	0.7158854365	0.5902539449
610	0.7158854365	0.5902539449
611	0.7158854365	0.5902539448
612	0.7158854365	0.5902539448
613	0.7158854365	0.5902539448
614	0.7158854365	0.5902539448
615	0.7158854365	0.5902539448
616	0.7158854365	0.5902539448
617	0.7158854365	0.5902539448
618	0.7158854365	0.5902539448
619	0.7158854365	0.5902539448
620	0.7158854365	0.5902539446
621	0.7158854365	0.5902539446
622	0.7158854365	0.5902539446
623	0.7158854365	0.5902539446
624	0.7158854365	0.5902539445
625	0.7158854365	0.5902539445
626	0.7158854365	0.5902539445
627	0.7158854365	0.5902539445
628	0.7158854365	0.5902539445
629	0.7158854365	0.5902539445
630	0.7158854365	0.5902539445
631	0.7158854365	0.5902539445
632	0.7158854365	0.5902539445
633	0.7158854365	0.5902539445
634	0.7158854365	0.5902539445
635	0.7158854365	0.5902539445
636	0.7158854365	0.5902539443
637	0.7158854365	0.5902539443
638	0.7158854365	0.5902539443
639	0.7158854365	0.5902539443
640	0.7158854365	0.5902539443
641	0.7158854365	0.5902539443
642	0.7158854365	0.5902539443
643	0.7158854365	0.5902539443
644	0.7158854365	0.5902539443
645	0.7158854365	0.5902539443
646	0.7158854365	0.5902539443
647	0.7158854365	0.5902539442
648	0.7158854365	0.5902539442
649	0.7158854365	0.5902539442
650	0.7158854365	0.5902539442
651	0.7158854365	0.5902539442
652	0.7158854365	0.5902539442
653	0.7158854365	0.5902539442
654	0.7158854365	0.5902539442
655	0.7158854365	0.5902539442
656	0.7158854365	0.5902539442
657	0.7158854365	0.5902539442
658	0.7158854365	0.5902539442
659	0.7158854365	0.5902539441
660	0.7158854365	0.5902539441
661	0.7158854365	0.5902539441
662	0.7158854365	0.5902539438
663	0.7158854365	0.5902539436
664	0.7158854365	0.5902539436
665	0.7158854365	0.5902539436
666	0.7158854365	0.5902539436
667	0.7158854365	0.5902539436
668	0.7158854365	0.5902539436
669	0.7158854365	0.5902539434
670	0.7158854365	0.5902539434
671	0.7158854365	0.5902539434
672	0.7158854365	0.5902539434
673	0.7158854365	0.5902539434
674	0.7158854365	0.5902539434
675	0.7158854365	0.5902539434
676	0.7158854365	0.5902539434
677	0.7158854365	0.5902539432
678	0.7158854365	0.5902539432
679	0.7158854365	0.5902539432
680	0.7158854365	0.5902539432
681	0.7158854365	0.5902539432
682	0.7158854365	0.5902539432
683	0.7158854365	0.5902539431
684	0.7158854365	0.5902539431
685	0.7158854365	0.5902539431
686	0.7158854365	0.5902539431
687	0.7158854365	0.5902539431
688	0.7158854365	0.5902539431
689	0.7158854365	0.5902539431
690	0.7158854365	0.5902539431
691	0.7158854365	0.5902539431
692	0.7158854365	0.5902539431
693	0.7158854365	0.5902539431
694	0.7158854365	0.5902539431
695	0.7158854365	0.5902539431
696	0.7158854365	0.5902539431
697	0.7158854365	0.5902539431
698	0.7158854365	0.5902539431
699	0.7158854365	0.5902539429
700	0.7158854365	0.5902539429
701	0.7158854365	0.5902539429
702	0.7158854365	0.5902539429
703	0.7158854365	0.5902539429
704	0.7158854365	0.5902539429
705	0.7158854365	0.5902539429
706	0.7158854365	0.5902539429
707	0.7158854365	0.5902539429
708	0.7158854365	0.5902539429
709	0.7158854365	0.5902539429
710	0.7158854365	0.5902539429
711	0.7158854365	0.5902539429
712	0.7158854365	0.5902539429
713	0.7158854365	0.5902539429
714	0.7158854365	0.5902539429
715	0.7158854365	0.5902539429
716	0.7158854365	0.5902539428
717	0.7158854365	0.5902539428
718	0.7158854365	0.5902539428
719	0.7158854365	0.5902539428
720	0.7158854365	0.5902539428
721	0.7158854365	0.5902539427
722	0.7158854365	0.5902539425
723	0.7158854365	0.5902539425
724	0.7158854365	0.5902539425
725	0.7158854365	0.5902539425
726	0.7158854365	0.5902539425
727	0.7158854365	0.5902539424
728	0.7158854365	0.5902539424
729	0.7158854365	0.5902539424
730	0.7158854365	0.5902539424
731	0.7158854365	0.5902539424
732	0.7158854365	0.5902539424
733	0.7158854365	0.5902539424
734	0.7158854365	0.5902539424
735	0.7158854365	0.5902539424
736	0.7158854365	0.5902539421
737	0.7158854365	0.5902539418
738	0.7158854365	0.5902539418
739	0.7158854365	0.5902539418
740	0.7158854365	0.5902539418
741	0.7158854365	0.5902539418
742	0.7158854365	0.5902539415
743	0.7158854365	0.5902539408
744	0.7158854365	0.5902539408
745	0.7158854365	0.5902539407
746	0.7158854365	0.5902539407
747	0.7158854365	0.5902539406
748	0.7158854365	0.5902539406
749	0.7158854365	0.5902539406
750	0.7158854365	0.5902539403
751	0.7158854365	0.5902539403
752	0.7158854365	0.5902539403
753	0.7158854365	0.5902539403
754	0.7158854365	0.5902539401
755	0.7158854365	0.5902539401
756	0.7158854365	0.5902539401
757	0.7158854365	0.5902539401
758	0.7158854365	0.5902539401
759	0.7158854365	0.5902539401
760	0.7158854365	0.5902539401
761	0.7158854365	0.5902539399
762	0.7158854365	0.5902539399
763	0.7158854365	0.5902539399
764	0.7158854365	0.5902539399
765	0.7158854365	0.5902539399
766	0.7158854365	0.5902539399
767	0.7158854365	0.5902539399
768	0.7158854365	0.5902539397
769	0.7158854365	0.5902539397
770	0.7158854365	0.5902539397
771	0.7158854365	0.5902539397
772	0.7158854365	0.5902539397
773	0.7158854365	0.5902539397
774	0.7158854365	0.5902539396
775	0.7158854365	0.5902539395
776	0.7158854365	0.5902539395
777	0.7158854365	0.5902539393
778	0.7158854365	0.5902539393
779	0.7158854365	0.5902539393
780	0.7158854365	0.5902539393
781	0.7158854365	0.5902539393
782	0.7158854365	0.5902539393
783	0.7158854365	0.5902539393
784	0.7158854365	0.5902539393
785	0.7158854365	0.5902539392
786	0.7158854365	0.590253939
787	0.7158854365	0.590253939
788	0.7158854365	0.590253939
789	0.7158854365	0.590253939
790	0.7158854365	0.590253939
791	0.7158854365	0.5902539388
792	0.7158854365	0.5902539386
793	0.7158854365	0.5902539383
794	0.7158854365	0.5902539383
795	0.7158854365	0.5902539383
796	0.7158854365	0.5902539383
797	0.7158854365	0.5902539383
798	0.7158854365	0.5902539383
799	0.7158854365	0.5902539383
800	0.7158854365	0.5902539382
801	0.7158854365	0.5902539382
802	0.7158854365	0.5902539381
803	0.7158854365	0.5902539381
804	0.7158854365	0.5902539378
805	0.7158854365	0.5902539378
806	0.7158854365	0.5902539378
807	0.7158854365	0.5902539378
808	0.7158854365	0.5902539371
809	0.7158854365	0.5902539371
810	0.7158854365	0.5902539371
811	0.7158854365	0.5902539371
812	0.7158854365	0.5902539369
813	0.7158854365	0.5902539368
814	0.7158854365	0.5902539368
815	0.7158854365	0.5902539368
816	0.7158854365	0.5902539368
817	0.7158854365	0.5902539368
818	0.7158854365	0.5902539368
819	0.7158854365	0.5902539368
820	0.7158854365	0.5902539367
821	0.7158854365	0.5902539367
822	0.7158854365	0.5902539367
823	0.7158854365	0.5902539365
824	0.7158854365	0.5902539364
825	0.7158854365	0.5902539364
826	0.7158854365	0.5902539361
827	0.7158854365	0.5902539361
828	0.7158854365	0.5902539361
829	0.7158854365	0.5902539361
830	0.7158854365	0.5902539361
831	0.7158854365	0.5902539361
832	0.7158854365	0.5902539361
833	0.7158854365	0.5902539361
834	0.7158854365	0.5902539361
835	0.7158854365	0.5902539361
836	0.7158854365	0.5902539361
837	0.7158854365	0.5902539361
838	0.7158854365	0.5902539361
839	0.7158854365	0.5902539361
840	0.7158854365	0.5902539361
841	0.7158854365	0.5902539361
842	0.7158854365	0.5902539361
843	0.7158854365	0.5902539358
844	0.7158854365	0.5902539358
845	0.7158854365	0.5902539356
846	0.7158854365	0.5902539356
847	0.7158854365	0.5902539356
848	0.7158854365	0.5902539356
849	0.7158854365	0.5902539356
850	0.7158854365	0.5902539354
851	0.7158854365	0.5902539354
852	0.7158854365	0.5902539354
853	0.7158854365	0.5902539354
854	0.7158854365	0.5902539354
855	0.7158854365	0.5902539353
856	0.7158854365	0.5902539351
857	0.7158854365	0.5902539351
858	0.7158854365	0.5902539351
859	0.7158854365	0.5902539349
860	0.7158854365	0.5902539349
861	0.7158854365	0.5902539349
